0.000	0.0	0.000	0.0	0.525
0.010	0.0	0.000	423.2	0.692
0.020	0.0	0.000	363.0	0.438
0.030	0.0	0.000	353.5	0.453
0.040	0.0	0.000	272.2	0.514
0.050	0.0	0.000	229.9	0.470
0.060	0.0	0.000	306.5	0.509
0.070	0.0	0.000	259.0	0.421
0.080	0.0	0.000	712.6	0.666
0.090	0.0	0.000	1197.0	0.581
0.100	0.0	0.000	952.7	0.494
0.110	0.0	0.000	449.6	0.461
0.120	0.0	0.000	324.0	0.338
0.130	0.0	0.000	260.7	0.487
0.140	0.0	0.000	204.6	0.545
0.150	0.0	0.000	233.5	0.588
0.160	0.0	0.000	240.9	0.429
0.170	0.0	0.000	265.1	0.538
0.180	0.0	0.000	580.9	0.407
0.190	261.3	1.000	1096.8	0.796
0.200	251.2	1.000	1258.5	0.955
0.210	249.5	1.000	1421.5	0.956
0.220	245.5	1.000	1592.2	0.962
0.230	242.6	1.000	1789.9	0.967
0.240	245.7	1.000	1821.2	0.962
0.250	247.8	1.000	2288.8	0.941
0.260	251.8	1.000	2681.3	0.929
0.270	255.0	1.000	2230.1	0.937
0.280	259.4	1.000	1966.2	0.959
0.290	260.5	1.000	2011.3	0.830
0.300	263.1	1.000	2151.7	0.857
0.310	264.2	1.000	2146.0	0.759
0.320	260.8	1.000	2158.1	0.888
0.330	263.5	1.000	1891.4	0.946
0.340	266.9	1.000	1661.0	0.957
0.350	269.3	1.000	1854.6	0.907
0.360	271.9	1.000	1724.6	0.907
0.370	276.7	1.000	1338.7	0.885
0.380	281.6	1.000	1259.9	0.683
0.390	291.4	1.000	1038.1	0.786
0.400	304.5	1.000	1037.9	0.753
0.410	291.8	1.000	1186.0	0.705
0.420	304.9	1.000	968.6	0.595
0.430	284.0	1.000	864.4	0.728
0.440	294.8	1.000	801.2	0.855
0.450	291.1	1.000	564.1	0.828
0.460	273.6	1.000	510.0	0.774
0.470	263.9	1.000	392.7	0.616
0.480	282.7	1.000	347.8	0.422
0.490	278.7	1.000	354.4	0.705
0.500	273.0	1.000	256.7	0.553
0.510	0.0	0.000	217.6	0.558
0.520	0.0	0.000	655.0	0.610
0.530	73.1	1.000	971.6	0.332
0.540	70.2	1.000	1376.9	0.653
0.550	68.9	1.000	1628.6	0.613
0.560	68.8	1.000	1954.8	0.889
0.570	69.7	1.000	1833.2	0.754
0.580	70.8	1.000	1559.3	0.801
0.590	100.5	1.000	1580.0	0.843
0.600	136.7	1.000	1557.0	0.746
0.610	132.5	1.000	1378.4	0.646
0.620	135.2	1.000	1188.9	0.848
0.630	136.6	1.000	746.8	0.552
0.640	127.7	1.000	709.5	0.606
0.650	126.7	1.000	586.6	0.605
0.660	131.9	1.000	536.8	0.585
0.670	128.7	1.000	662.7	0.722
0.680	146.9	1.000	1230.3	0.712
0.690	130.8	1.000	1753.2	0.416
0.700	126.0	1.000	1736.3	0.489
0.710	129.6	1.000	1869.0	0.765
0.720	136.2	1.000	2200.1	0.793
0.730	131.1	1.000	2063.3	0.881
0.740	130.6	1.000	2368.2	0.573
0.750	128.4	1.000	2341.2	0.826
0.760	0.0	0.000	1349.1	0.673
0.770	0.0	0.000	1216.4	0.609
0.780	0.0	0.000	958.4	0.775
0.790	0.0	0.000	799.9	0.740
0.800	0.0	0.000	563.2	0.454
0.810	0.0	0.000	650.6	0.559
0.820	0.0	0.000	661.2	0.493
0.830	0.0	0.000	1344.0	0.563
0.840	0.0	0.000	953.5	0.440
0.850	0.0	0.000	831.7	0.603
0.860	0.0	0.000	926.0	0.609
0.870	0.0	0.000	808.8	0.620
0.880	0.0	0.000	1088.8	0.604
0.890	0.0	0.000	1445.1	0.723
0.900	0.0	0.000	1389.5	0.633
0.910	0.0	0.000	2260.7	0.810
0.920	0.0	0.000	1308.7	0.766
0.930	0.0	0.000	915.3	0.659
0.940	0.0	0.000	901.2	0.667
0.950	273.1	1.000	818.7	0.731
0.960	273.1	1.000	846.9	0.776
0.970	271.4	1.000	838.0	0.905
0.980	272.1	1.000	864.6	0.884
0.990	270.8	1.000	994.5	0.895
1.000	261.2	1.000	1373.3	0.526
1.010	267.3	1.000	1684.9	0.808
